feature,importance
traffic_index,0.2970313759093869
traffic_weather_risk,0.26073912869883425
day_of_week,0.09868840946005948
weather_index,0.08888790099936038
distance_time_ratio,0.06968443229374331
expected_time_hours,0.04317846085517475
distance_km,0.04246747384193838
base_production_per_week,0.03700669617818375
production_risk,0.0249687501992272
production_variability,0.02166292245490631
is_medium_priority,0.006239500943936854
priority_level_encoded,0.005012916888146311
is_high_priority,0.004432031277102066
max_storage,0.0
demand,0.0
demand_to_storage_ratio,0.0
month,0.0
